fecha,titulo,periodico,enlace
"Publicado: Nov 21, 2022 08:24 AM",Encuentran seis kilos de cocaína tirados a orillas de expreso Luis A. Ferré,Noticel,https://www.noticel.com/policiacas/la-calle/20221121/encuentran-seis-kilos-de-cocaina-tirados-a-orillas-de-expreso-luis-a-ferre/
"Publicado: Nov 21, 2022 07:12 AM",Exfiscal Parra dice se reunió con el FBI para hablar de lo que sucede en Justicia,Noticel,https://www.noticel.com/ahora/20221121/exfiscal-parra-dice-se-reunio-con-el-fbi-para-hablar-de-lo-que-sucede-en-justicia/
"Publicado: Nov 21, 2022 05:51 AM","Le tumban $10,000 en efectivo a hombre en Las Piedras",Noticel,https://www.noticel.com/policiacas/la-calle/20221121/le-tumban-10000-en-efectivo-a-hombre-en-las-piedras/
"Publicado: Nov 21, 2022 05:26 AM",Al menos 55 muertes por terremoto en Indonesia,Noticel,https://www.noticel.com/mundo/20221121/al-menos-55-muertes-por-terremoto-en-indonesia/
"Publicado: Nov 21, 2022 05:04 AM",Covid-19: Salud reporta dos muertes y 172 hospitalizados,Noticel,https://www.noticel.com/ahora/20221121/covid-19-salud-reporta-dos-muertes-y-172-hospitalizados/
"Publicado: Nov 21, 2022 04:47 AM",Recordatorio: Hoy vence fecha para solicitar ayuda individual a FEMA ,Noticel,https://www.noticel.com/ahora/20221121/recordatorio-hoy-vence-fecha-para-solicitar-ayuda-individual-a-fema/
"Publicado: Nov 21, 2022 04:45 AM",Cataño tendrá que probar al detalle los trucos de su exalcalde corrupto,Noticel,https://www.noticel.com/tribunales/ahora/top-stories/20221121/catano-tendra-que-probar-al-detalle-los-trucos-de-su-exalcalde-corrupto/
"Publicado: Nov 21, 2022 04:45 AM",Se mantuvo en octubre el alza en el empleo no agrícola,Noticel,https://www.noticel.com/economia/top-stories/20221121/se-mantuvo-en-octubre-el-alza-en-el-empleo-no-agricola/
"Publicado: Nov 21, 2022 04:45 AM",Mundial de Qatar: debuta Estados Unidos ante Gales,Noticel,https://www.noticel.com/deportes/20221121/mundial-de-qatar-debuta-estados-unidos-ante-gales/
"Publicado: Nov 21, 2022 04:45 AM",Nuevo seguro de vida en Puerto Rico recompensa el bienestar físico ,Noticel,https://www.noticel.com/economia/top-stories/20221121/nuevo-seguro-de-vida-en-puerto-rico-recompensa-el-bienestar-fisico/
"Publicado: Nov 21, 2022 05:45 AM","Ante millonarios fondos en San Juan para asfaltado, alcalde asegura que toma resguardo",Noticel,https://www.noticel.com/municipios/top-stories/20221121/ante-millonarios-fondos-en-san-juan-para-asfaltado-alcalde-asegura-que-toma-resguardo/
"Publicado: Nov 21, 2022 04:17 AM",NBA: Exitoso regreso de Kyrie Irving,Noticel,https://www.noticel.com/deportes/20221121/nba-exitoso-regreso-de-kyrie-irving/
"Publicado: Nov 20, 2022 05:32 PM","Muere Hebe de Bonafini, símbolo de Madres de Plaza de Mayo",Noticel,https://www.noticel.com/mundo/20221120/muere-hebe-de-bonafini-simbolo-de-madres-de-plaza-de-mayo/
"Publicado: Nov 20, 2022 05:19 PM",Dos medallas de oro para PR en inicio de Juegos Centroamericanos y del Caribe Mar y Playa,Noticel,https://www.noticel.com/deportes/20221120/dos-medallas-de-oro-para-pr-en-inicio-de-juegos-centroamericanos-y-del-caribe-mar-y-playa/
"Publicado: Nov 20, 2022 04:48 PM",Encuentran cadáver a orillas de un río en Peñuelas,Noticel,https://www.noticel.com/policiacas/la-calle/20221120/encuentran-cadaver-a-orillas-de-un-rio-en-penuelas/
"Publicado: Nov 20, 2022 04:47 PM","Protestan en el Viejo San Juan contra LUMA, cuyo contrato se extendería a fin de mes",Noticel,https://www.noticel.com/la-calle/20221120/protestan-en-el-viejo-san-juan-contra-luma-cuyo-contrato-se-extenderia-a-fin-de-mes/
"Publicado: Nov 20, 2022 04:25 PM",Joven asesinada en Cayey pudo haber sido víctima de ataque dirigido a su pareja,Noticel,https://www.noticel.com/ahora/top-stories/20221120/joven-asesinada-en-cayey-pudo-haber-sido-victima-de-ataque-dirigido-a-su-pareja/
"Publicado: Nov 20, 2022 04:00 PM",La COP27 termina con un acuerdo para crear fondo para costear pérdidas y daños,Noticel,https://www.noticel.com/mundo/20221120/la-cop27-termina-con-un-acuerdo-para-crear-fondo-para-costear-perdidas-y-danos/
"Publicado: Nov 20, 2022 03:49 PM",Se llevan caja fuerte con diez mil dólares en joyas de vivienda de Levittown,Noticel,https://www.noticel.com/la-calle/20221120/se-llevan-caja-fuerte-con-diez-mil-dolares-en-joyas-de-vivienda-de-levittown/
"Publicado: Nov 20, 2022 03:46 PM",¡Que no cunda el pánico! Messi entrenó con normalidad,Noticel,https://www.noticel.com/deportes/20221120/que-no-cunda-el-panico-messi-entreno-con-normalidad/
"Publicado: Nov 20, 2022 04:33 PM",Avería afecta suministro de agua en varios pueblos del oeste,Noticel,https://www.noticel.com/ahora/20221120/averia-afecta-suministro-de-agua-en-varios-pueblos-del-oeste/
"Publicado: Nov 20, 2022 03:33 PM",Mujer herida de bala en la avenida San Patricio,Noticel,https://www.noticel.com/policia/gobierno/ahora/20221120/mujer-herida-de-bala-en-la-avenida-san-patricio/
"Publicado: Nov 20, 2022 03:22 PM","Cinturón de seguridad: en el oeste lo usan menos, mientras que mujeres lo utilizan más en el país",Noticel,https://www.noticel.com/policia/gobierno/ahora/20221120/cinturon-de-seguridad-en-el-oeste-lo-usan-menos-mientras-que-mujeres-lo-utilizan-mas-en-el-pais/
"Publicado: Nov 20, 2022 03:05 PM",Hasta el 3 de mayo fecha límite para obtener el REAL ID si viaja a EU,Noticel,https://www.noticel.com/gobierno/ahora/estados-unidos/20221120/hasta-el-3-de-mayo-fecha-limite-para-obtener-el-real-id-si-viaja-a-eu/
"Publicado: Nov 20, 2022 02:47 PM","Aparente suicidio muerte de actor Jason David Frank, uno de los originales “Power Rangers”",Noticel,https://www.noticel.com/fama/pop/20221120/aparente-suicidio-muerte-de-actor-jason-david-frank-uno-de-los-originales-power-rangers/
"Publicado: Nov 20, 2022 02:10 PM","Se vuelve a activar volcán Chaparrastique, en El Salvador",Noticel,https://www.noticel.com/mundo/20221120/se-vuelve-a-activar-volcan-chaparrastique-en-el-salvador/
"Publicado: Nov 20, 2022 01:35 PM",Banderas a media asta por oficial muerto en intervención en alta mar,Noticel,https://www.noticel.com/gobierno/ahora/20221120/banderas-a-media-asta-por-oficial-muerto-en-intervencion-en-alta-mar/
"Publicado: Nov 20, 2022 01:07 PM",Ecuador pisó sólido en su debut en Catar,Noticel,https://www.noticel.com/deportes/top-stories/20221120/ecuador-piso-solido-en-su-debut-en-catar/
"Publicado: Nov 20, 2022 12:52 PM","Vecino, vea si su barrio o sector de San Juan será repavimentado",Noticel,https://www.noticel.com/municipios/ahora/gobierno/top-stories/20221120/vecino-vea-si-su-barrio-o-sector-de-san-juan-sera-repavimentado/
"Publicado: Nov 20, 2022 12:43 PM",Agreden octogenaria en robo domiciliario,Noticel,https://www.noticel.com/policiacas/la-calle/20221120/agreden-octogenaria-en-robo-domiciliario/
"Publicado: Nov 20, 2022 01:15 PM","Juicio en Estados Unidos de ""enfermera"" de Chávez y su esposo inicia el lunes",Noticel,https://www.noticel.com/estados-unidos/mundo/20221120/juicio-en-estados-unidos-de-enfermera-de-chavez-y-su-esposo-inicia-el-lunes/
"Publicado: Nov 20, 2022 11:51 AM",Puerto Rico entre los primeros 75 en Olimpiadas Mundiales de Robótica,Noticel,https://www.noticel.com/tecno/20221120/puerto-rico-entre-los-primeros-75-en-olimpiadas-mundiales-de-robotica/
"Publicado: Nov 20, 2022 10:56 AM",Tradición y modernidad en el arranque del Mundial de Catar,Noticel,https://www.noticel.com/deportes/20221120/tradicion-y-modernidad-en-el-arranque-del-mundial-de-catar/
"Publicado: Nov 20, 2022 10:42 AM","Fallece Hebe de Bonafini, presidenta de las Madres de Plaza de Mayo",Noticel,https://www.noticel.com/mundo/20221120/fallece-hebe-de-bonafini-presidenta-de-las-madres-de-plaza-de-mayo/
