fecha,titulo,periodico,enlace
21 / nov / 2022,Identifican a presunto autor de la masacre en club gay en Colorado,Primera Hora,http://www.primerahora.com/noticias/estados-unidos/notas/identifican-a-presunto-autor-de-la-masacre-en-club-gay-en-colorado/
21 / nov / 2022,Hallan bolsa con cocaína a orillas de la autopista PR-52 en San Juan,Primera Hora,http://www.primerahora.com/noticias/policia-tribunales/notas/hallan-bolsa-con-cocaina-a-orillas-de-la-autopista-pr-52-en-san-juan/
21 / nov / 2022,Pekín impone cierres ante el avance del COVID-19,Primera Hora,http://www.primerahora.com/noticias/mundo/notas/pekin-impone-cierres-ante-el-avance-del-covid-19/
21 / nov / 2022,Fotos: Desfile de estrellas en la alfombra de los American Music Awards 2022,Primera Hora,http://www.primerahora.com/estilos-de-vida/moda-estilo/fotogalerias/fotos-desfile-de-estrellas-en-la-alfombra-de-los-american-music-awards-2022-2/
21 / nov / 2022,Países Bajos renuncia a portar brazalete “One Love” en su primer juego en Qatar 2022,Primera Hora,http://www.primerahora.com/deportes/futbol/notas/paises-bajos-renuncia-a-portar-brazalete-one-love-en-su-primer-juego-en-qatar-2022/
21 / nov / 2022,Terremoto en Indonesia deja al menos 55 muertos,Primera Hora,http://www.primerahora.com/noticias/mundo/notas/terremoto-en-indonesia-deja-al-menos-55-muertos/
21 / nov / 2022,Sorpresivo regreso de Bob Iger como director general de Disney,Primera Hora,http://www.primerahora.com/noticias/estados-unidos/notas/sorpresivo-regreso-de-bob-iger-como-director-general-de-disney/
21 / nov / 2022,El envejecimiento y cómo afecta la alimentación,Primera Hora,http://www.primerahora.com/estilos-de-vida/ph-mas-saludable/notas/el-envejecimiento-y-como-afecta-la-alimentacion/
21 / nov / 2022,Nefasto el impacto de los desastres naturales para la educación pública,Primera Hora,http://www.primerahora.com/noticias/gobierno-politica/notas/nefasto-el-impacto-de-los-desastres-naturales-para-la-educacion-publica/
21 / nov / 2022,Conoce a la naranjiteña que interpretó el concierto de Bad Bunny en lenguaje de señas,Primera Hora,http://www.primerahora.com/entretenimiento/otras/notas/logro-ser-escuchada/
21 / nov / 2022,Las 5 noticias del fin de semana,Primera Hora,http://www.primerahora.com/noticias/puerto-rico/notas/las-5-noticias-del-fin-de-semana-186/
21 / nov / 2022,No olvidemos agradecer,Primera Hora,http://www.primerahora.com/opinion/celimar-adames-casalduc/columnas/no-olvidemos-agradecer/
21 / nov / 2022,¿Gracias por qué y para qué?,Primera Hora,http://www.primerahora.com/opinion/tayna-rivera-llavona/columnas/gracias-por-que-y-para-que/
21 / nov / 2022,“Magda” le da a Freddo Vega la vida que siempre soñó,Primera Hora,http://www.primerahora.com/entretenimiento/cultura-teatro/notas/magda-le-da-a-freddo-vega-la-vida-que-siempre-sono/
21 / nov / 2022,"Carlos, con gorrito sí",Primera Hora,http://www.primerahora.com/opinion/milly-cangiano/columnas/carlos-con-gorrito-si/
21 / nov / 2022,Warriors ganan fuera de casa con diez triples de Klay Thompson,Primera Hora,http://www.primerahora.com/deportes/baloncesto/notas/warriors-ganan-fuera-de-casa-con-diez-triples-de-klay-thompson/
21 / nov / 2022,Ana Isabelle finaliza subcampeona de la décima temporada de “Mira Quién Baila All Stars”,Primera Hora,http://www.primerahora.com/entretenimiento/cine-tv/notas/ana-isabelle-finaliza-subcampeona-de-la-decima-temporada-de-mira-quien-baila-all-stars/
21 / nov / 2022,Revista Time escoge “Un Verano Sin Ti” de Bad Bunny como el mejor álbum del 2022,Primera Hora,http://www.primerahora.com/entretenimiento/farandula/notas/revista-time-escoge-un-verano-sin-ti-de-bad-bunny-como-el-mejor-album-del-2022/
21 / nov / 2022,Víctor Manuelle vuelve a caminar por sus héroes,Primera Hora,http://www.primerahora.com/entretenimiento/farandula/fotogalerias/victor-manuelle-vuelve-a-caminar-por-sus-heroes/
21 / nov / 2022,Don Cheo domina el clásico Copa Primera Hora,Primera Hora,http://www.primerahora.com/deportes/hipismo/fotogalerias/don-cheo-domina-el-clasico-copa-primera-hora/
21 / nov / 2022,Joe Biden le pide a la selección de EE.UU. en el Mundial que sorprendan al mundo,Primera Hora,http://www.primerahora.com/deportes/futbol/notas/joe-biden-le-pide-a-la-seleccion-de-eeuu-en-el-mundial-que-sorprendan-al-mundo/
21 / nov / 2022,Mariecarmen Rivera y Ricardo Ávila conquistan los primeros oros en Santa Marta,Primera Hora,http://www.primerahora.com/deportes/otros/notas/mariecarmen-rivera-y-ricardo-avila-conquistan-los-primeros-oros-en-santa-marta/
21 / nov / 2022,Airosos los Leones y Cangrejeros en la acción dominical de la pelota invernal,Primera Hora,http://www.primerahora.com/deportes/beisbol/notas/airosos-los-leones-y-cangrejeros-en-la-accion-dominical-de-la-pelota-invernal/
20 / nov / 2022,Juan Carlos Díaz: “Don Cheo demostró que es un potro de distancia”,Primera Hora,http://www.primerahora.com/deportes/hipismo/notas/juan-carlos-diaz-don-cheo-demostro-que-es-un-potro-de-distancia/
20 / nov / 2022,Don Cheo se lleva el clásico Copa Primera Hora,Primera Hora,http://www.primerahora.com/deportes/hipismo/notas/don-cheo-se-lleva-el-clasico-copa-primera-hora/
20 / nov / 2022,Víctor Manuelle camina por sus héroes,Primera Hora,http://www.primerahora.com/entretenimiento/farandula/notas/victor-manuelle-camina-por-sus-heroes/
20 / nov / 2022,De fiesta el Hipódromo Camarero con el Clásico Copa Primera Hora,Primera Hora,http://www.primerahora.com/deportes/hipismo/fotogalerias/de-fiesta-el-hipodromo-camarero-con-el-clasico-copa-primera-hora/
20 / nov / 2022,Hallan cuerpo flotando en río de Peñuelas,Primera Hora,http://www.primerahora.com/noticias/policia-tribunales/notas/hallan-cuerpo-flotando-en-rio-de-penuelas/
20 / nov / 2022,El mundial que cambió para siempre el destino de Ricky Martin ,Primera Hora,http://www.primerahora.com/entretenimiento/musica/notas/el-mundial-que-cambio-para-siempre-el-destino-de-ricky-martin/
20 / nov / 2022,“Wakanda Forever” sigue dominando la taquilla en Estados Unidos,Primera Hora,http://www.primerahora.com/entretenimiento/cine-tv/notas/wakanda-forever-sigue-dominando-la-taquilla-en-estados-unidos/
21 / nov / 2022,Último día para solicitar los $700 de FEMA por el huracán Fiona,Primera Hora,http://www.primerahora.com/noticias/gobierno-politica/notas/ultimo-dia-para-solicitar-los-700-de-fema-por-el-huracan-fiona/
21 / nov / 2022,Identifican mujer herida de bala en Puerto Nuevo ,Primera Hora,http://www.primerahora.com/noticias/policia-tribunales/notas/identifican-mujer-herida-de-bala-en-puerto-nuevo/
21 / nov / 2022,La joven Ecuador se ilusiona en Qatar,Primera Hora,http://www.primerahora.com/deportes/futbol/notas/la-joven-ecuador-se-ilusiona-en-qatar/
21 / nov / 2022,¿Shakira le sacó el dedo malo a Gerard Piqué en público?,Primera Hora,http://www.primerahora.com/entretenimiento/farandula/notas/shakira-le-saco-el-dedo-malo-a-gerard-pique-en-publico/
21 / nov / 2022,Encuentran muerta a una mujer en San Juan ,Primera Hora,http://www.primerahora.com/noticias/policia-tribunales/notas/encuentran-muerta-a-una-mujer-en-san-juan/
21 / nov / 2022,Monja que ganó “La Voz” en Italia cuelga los hábitos y vive en España ,Primera Hora,http://www.primerahora.com/entretenimiento/farandula/notas/monja-que-gano-la-voz-en-italia-cuelga-los-habitos-y-vive-en-espana/
21 / nov / 2022,¿Hasta cuándo se podrá usar la licencia sin Real ID para viajar?,Primera Hora,http://www.primerahora.com/noticias/gobierno-politica/notas/hasta-cuando-se-podra-usar-la-licencia-sin-real-id-para-viajar/
21 / nov / 2022,Colectiva feminista convoca a protesta ante posible radicación de cargos,Primera Hora,http://www.primerahora.com/noticias/policia-tribunales/notas/colectiva-feminista-convoca-a-protesta-ante-posible-radicacion-de-cargos/
21 / nov / 2022,Suena el ‘God Save the King’ en un Mundial por primera vez desde 1950 ,Primera Hora,http://www.primerahora.com/deportes/futbol/notas/suena-el-god-save-the-king-en-un-mundial-por-primera-vez-desde-1950/
21 / nov / 2022,Intervienen con cuatro inmigrantes en costa de Cabo Rojo ,Primera Hora,http://www.primerahora.com/noticias/policia-tribunales/notas/intervienen-con-cuatro-inmigrantes-en-costa-de-cabo-rojo/
21 / nov / 2022,"Se encendió la Navidad en Broward, Florida",Primera Hora,http://www.primerahora.com/entretenimiento/otras/notas/se-encendio-la-navidad-en-broward-florida/
21 / nov / 2022,"Pistoleros huyen con $10,000 tras asalto un hombre en Las Piedras",Primera Hora,http://www.primerahora.com/noticias/policia-tribunales/notas/pistoleros-huyen-con-10000-tras-asalto-un-hombre-en-las-piedras/
21 / nov / 2022,Último día para solicitar asistencia individual de FEMA por el huracán Fiona,Primera Hora,http://www.primerahora.com/noticias/gobierno-politica/notas/ultimo-dia-para-solicitar-asistencia-individual-de-fema-por-el-huracan-fiona/
21 / nov / 2022,FBI asume jurisdicción de pesquisa de robo domiciliario de anciana ,Primera Hora,http://www.primerahora.com/noticias/policia-tribunales/notas/fbi-asume-jurisdiccion-de-pesquisa-de-robo-domiciliario-de-anciana/
21 / nov / 2022,Cristiano minimiza impacto de entrevista previo al Mundial,Primera Hora,http://www.primerahora.com/deportes/futbol/notas/cristiano-minimiza-impacto-de-entrevista-previo-al-mundial/
21 / nov / 2022,Regresa el extraño cabaré “More Than Land”,Primera Hora,http://www.primerahora.com/entretenimiento/otras/notas/regresa-el-extrano-cabare-more-than-land/
21 / nov / 2022,"FOTOS: Los ""papacitos"" del Mundial de Fútbol ",Primera Hora,http://www.primerahora.com/deportes/futbol/fotogalerias/fotos-los-papacitos-del-mundial-de-futbol/
21 / nov / 2022,Roban excavadora del municipio de Naranjito,Primera Hora,http://www.primerahora.com/noticias/policia-tribunales/notas/roban-excavadora-del-municipio-de-naranjito/
21 / nov / 2022,Hermanas artesanas de Orocovis son unas titanas en muñecas de trapo y tejidos para bebés,Primera Hora,http://www.primerahora.com/noticias/puerto-rico/notas/hermanas-artesanas-de-orocovis-son-unas-titanas-en-munecas-de-trapo-y-tejidos-para-bebes/
21 / nov / 2022,Baja el apoyo a leyes más estrictas sobre las armas de fuego en Estados Unidos,Primera Hora,http://www.primerahora.com/noticias/estados-unidos/notas/baja-el-apoyo-a-leyes-mas-estrictas-sobre-las-armas-de-fuego-en-estados-unidos/
21 / nov / 2022,Inglaterra aplasta a Irán y confirma que es candidata al título,Primera Hora,http://www.primerahora.com/deportes/futbol/notas/inglaterra-aplasta-a-iran-y-confirma-que-es-candidata-al-titulo/
21 / nov / 2022,Justicia neerlandesa juzga por sedición al líder del movimiento antivacunas ,Primera Hora,http://www.primerahora.com/noticias/mundo/notas/justicia-neerlandesa-juzga-por-sedicion-al-lider-del-movimiento-antivacunas/
21 / nov / 2022,Monte Canela: lugar elevado para ver los mejores atardeceres de Puerto Rico desde Orocovis,Primera Hora,http://www.primerahora.com/noticias/puerto-rico/notas/monte-canela-lugar-elevado-para-ver-los-mejores-atardeceres-de-puerto-rico-desde-orocovis/
21 / nov / 2022,La cápsula Orión roza la luna y se acerca con éxito a 130 kilómetros ,Primera Hora,http://www.primerahora.com/noticias/ciencia-tecnologia/notas/la-capsula-orion-roza-la-luna-y-se-acerca-con-exito-a-130-kilometros/
